TENX_reaction_ID	condition	tissue	cell_sorting	target_recovery	instrument	n_recovered_nuclei
healthy_PBMC_human	healthy	PBMC	granulocytes_removed	3k	Chromium_Controller	2711
pbmc_10k_chromium_controller	healthy	PBMC	unspecified	10k	Chromium_Controller	10691
pbmc_10k_chromium_x	healthy	PBMC	unspecified	10k	Chromium_X	10970
pbmc_granulocyte_sorted_10k	healthy	PBMC	granulocytes_removed	10k	Chromium_Controller	11898
pbmc_unsorted_10k	healthy	PBMC	unsorted	10k	Chromium_Controller	12012
pbmc_unsorted_3k	healthy	PBMC	unsorted	3k	Chromium_Controller	3009
