GEM_well_ID	GEM_well_dataset	GEM_well_donor_id	GEM_well_n_donors	GEM_well_cellranger_arc_count_dir	GEM_well_add_cellbender	GEM_well_cellbender_h5_file	GEM_well_donors_VCF_file	GEM_well_QC_exclude_list	GEM_well_is_active	GEM_well_cell_sorting
healthy_PBMC_human	immune_human_dataset	pbmc1	1	example_data/healthy_PBMC_human	FALSE	NA	NA	TSS.enrichment < 4 ;; nucleosome_signal > 4 ;; nCount_RNA < 250 ;; RNA_mito_percent > 10	TRUE	granulocytes_removed
lymphoma_lymph_human	immune_human_dataset	lymph1	1	example_data/lymphoma_lymph_human	FALSE	NA	NA	TSS.enrichment < 4 ;; nucleosome_signal > 4 ;; nCount_RNA < 250 ;; RNA_mito_percent > 10	TRUE	sorted_nuclei
